All Spots Bets 2025;;2.00$ Unit;;;;;;;;;;;;;
01/01/2025;Starts at $274.88;Bets;Wins;Losses;Pushes;;Units Bet;Units Won;ROI %;;;;;;
;;1274;633;617;24;;481,21;9,19;1,91%;;;;;;
Date;Bet;Odds;Result;Win/Loss;Stake;Winnings;Unit Stake;Unit Winnings;ROI %;Bet Type;Sport;;;;
01/01/2025;SGP: Wisner 60+ rush, James 60+ rush;-136;Loss;Loss;0.50$;0$;0,25;-0,25;0%;Prop;NCAAF;;;;
01/01/2025;Texas to Score on 1st Possession;-105;Win;Win;0.30$;0.28$;0,15;0,14;93%;Prop;NCAAF;;;;
01/01/2025;OSU & Oregon BTTS 20+;-172;Win;Win;1.72$;1.00$;0,86;0,5;58%;BTTS;NCAAF;;;;
01/01/2025;SGP: Egbuka 40+ rec yds & Tex 40+ Rec Yds;-117;Loss;Loss;2.00$;0$;1;-1;0%;Parlay;NCAAF;;;;
01/01/2025;Will Howard over 12.5 Rush Yards;-114;-3;Loss;0.50$;0$;0,25;-0,25;0%;Prop;NCAAF;;;;
01/01/2025;Ohio State Team Total over 27.5;-135;41;Win;1.35$;1.00$;0,68;0,5;74%;Team Total;NCAAF;;;;
01/01/2025;Jokic Triple Double;140;Win;Win;0.50$;0.70$;0,25;0,35;140%;Prop;NBA;;;;
01/01/2025;Braun over 13.5 Points;-106;15;Win;0.60$;0.57$;0,3;0,29;97%;Prop;NBA;;;;
01/01/2025;Klay under 3.5 threes;-156;4;Loss;0.40$;0$;0,2;-0,2;0%;Prop;NBA;;;;
01/01/2025;Ladder;-200;Loss;Loss;0.30$;0$;0,15;-0,15;0%;Ladder;Ladder;;;;
01/01/2025;Parlay: knicks -1.5, Jokic 35+ PR, Nuggets ML, Maxey 15+ Pts;130;Win;Win;1.00$;1.31$;0,5;0,66;130%;Parlay;NBA;;;;
01/01/2025;CFP anytime 150+ Rec Yds from a receiver;300;Win;Win;2.00$;6.00$;1;3;300%;Future;NCAAF;;;;
02/01/2025;Parlay: Texas ML, Texas TT over 21.5, NDvGA under 57.5;-193;Win;Win;0.75$;0.39$;0,38;0,2;53%;Parlay;NCAAF;;;;
02/01/2025;Atalanta +0.5;-120;3-2.;Loss;0.50$;0$;0,25;-0,25;0%;Spread;Soccer;;;;
02/01/2025;Parlay: OKC -1.5 & Lakers -1.5;-184;Win;Win;1.50$;0.82$;0,75;0,41;55%;Parlay;NBA;;;;
02/01/2025;Austin Reaves over 31.5 PRA;-113;34;Win;1.25$;1.11$;0,63;0,56;89%;Prop;NBA;;;;
02/01/2025;Austin Reaves 8 ast, 6 rebs;508;Win;Win;0.10$;0.51$;0,05;0,26;508%;Parlay;NBA;;;;
02/01/2025;Ladder;-113;Loss;Loss;0.30$;0$;0,15;-0,15;0%;Ladder;Ladder;;;;
02/01/2025;Georgia To win Title;600;Loss;Loss;1.00$;0$;0,5;-0,5;0%;Future;NCAAF;;;;
03/01/2025;Keon Ellis 15+ PRA;-125;20;Win;0.50$;0.40$;0,25;0,2;80%;Prop;NBA;;;;
03/01/2025;Cade Cunningham Triple double;900;Loss;Loss;0.10$;0$;0,05;-0,05;0%;Prop;NBA;;;;
03/01/2025;SGP: Thunder ML & KAT 10+ Rebs;-135;Win;Win;0.75$;0.56$;0,38;0,28;74%;Parlay;NBA;;;;
03/01/2025;Mavs +7.5;-114;134-122;Loss;0.50$;0$;0,25;-0,25;0%;Spread;NBA;;;;
03/01/2025;Jokic Triple Double;160;Loss;Loss;0.50$;0$;0,25;-0,25;0%;Prop;NBA;;;;
